nom,dosage,substance,presentation,forme,statut
CRISTAL ADU,-,GLYCEROL,BOITE DE 10,SUPPOSITOIRE,Non Commercialisé
CRISTAL ENFANT,-,GLYCEROL,BOITE DE 10,SUPPOSITOIRE,Non Commercialisé
CRISTAL NOUR,-,GLYCEROL,BOITE DE 10,SUPPOSITOIRE,Non Commercialisé
CRIXIVAN,400 MG,INDINAVIR,BOITE DE 180,GELULE,Retiré du Marché
CRIZEPINE,100 MG / 5 ML,CARBAMAZEPINE,FLACON DE 150 ML,SUSPENSION BUVABLE,Commercialisé
CRIZEPINE,200 MG,CARBAMAZEPINE,BOITE DE 175,COMPRIME SECABLE,Commercialisé AO
CRIZEPINE,200 MG,CARBAMAZEPINE,BOITE DE 50,COMPRIME SECABLE,Commercialisé AO
CROMABAK,20 MG / ML,CROMOGLICATE DE SODIUM,FLACON DE 10ML,COLLYRE,Non Commercialisé
CRONODINE LP,120 MG,DILTIAZEM (CHLORHYDRATE),BOITE DE 30,GELULE,Commercialisé
CRONODINE LP,240 MG,DILTIAZEM (CHLORHYDRATE),BOITE DE 30,GELULE,Commercialisé
CURACNE,10 MG,ISOTRETINOINE,BOITE DE 30,CAPSULE MOLLE,Commercialisé
CURACNE,20 MG,ISOTRETINOINE,BOITE DE 30,CAPSULE MOLLE,Commercialisé
CURACNE,40 MG,ISOTRETINOINE,BOITE DE 30,CAPSULE MOLLE,Commercialisé
CURACNE,5 MG,ISOTRETINOINE,BOITE DE 30,CAPSULE MOLLE,Commercialisé
CURAM,1 G / 125 MG,AMOXICILLINE // ACIDE CLAVULANIQUE,BOITE DE 12,SACHET,Non Commercialisé
CURAM,1 G / 125 MG,AMOXICILLINE // ACIDE CLAVULANIQUE,BOITE DE 16,SACHET,Non Commercialisé
CURAM 250 MG,"0,287 G / 0,084 G",AMOXICILLINE // ACIDE CLAVULANIQUE,FLACON DE 60,GRANULE POUR SUSPENSION BUVABLE,Retiré du Marché
CUREAML,500 MG,HYDROXYCARBAMIDE,BOITE DE 30,GELULE,Commercialisé
CUROSURF,120 MG,PORACTANT ALFA (FRACTION PHOSPHOLIPIDIQUE DE POUMON),"FLACON DE 1,5 ML",SUSPENSION POUR USAGE INTRATRACHEAL,Commercialisé
CUROSURF,240 MG,PORACTANT ALFA (FRACTION PHOSPHOLIPIDIQUE DE POUMON),FLACON DE 3 ML,SUSPENSION POUR USAGE INTRATRACHEAL,Non Commercialisé
CURTEC,10 MG,CETIRIZINE (DICHLORHYDRATE),BOITE DE 30,COMPRIME SECABLE,Commercialisé
CURTEC,1 MG / 1 ML,CETIRIZINE (DICHLORHYDRATE),FLACON DE 60 ML,SOLUTION BUVABLE,Commercialisé
CURTEC,10 MG,CETIRIZINE (DICHLORHYDRATE),BOITE DE 15,COMPRIME PELLICULE,Commercialisé
CUSICROM,0.04,CROMOGLICATE DE SODIUM,FLACON DE 10 ML,COLLYRE,Non Commercialisé
CUSICROM NASALE,0.04,CROMOGLICATE DE SODIUM,FLACON DE 15 ML,SOLUTION NASALE,Non Commercialisé
CUSIMOLOL,0.0025,TIMOLOL (MALEATE),FLACON DE 5 ML,COLLYRE,Non Commercialisé
CUSIMOLOL,0.005,TIMOLOL (MALEATE),FLACON DE 5 ML,COLLYRE,Non Commercialisé
CUSIVIRAL,0.03,ACICLOVIR,"TUBE DE 4,5 G",POMMADE OPHTALMIQUE,Non Commercialisé
CUSIVIRAL,0.05,ACICLOVIR,TUBE DE 15 G,POMMADE,Retiré du Marché
CUSIVIRAL,0.05,ACICLOVIR,TUBE DE 2 G,POMMADE,Retiré du Marché
CUTACNYL,0.025,PEROXYDE DE BENZOYLE,TUBE DE 40 G,GEL,Commercialisé
CUTACNYL,0.05,PEROXYDE DE BENZOYLE,TUBE DE 40 G,GEL,Commercialisé
CUTACNYL,0.1,PEROXYDE DE BENZOYLE,TUBE DE 40 G,GEL,Non Commercialisé
CUTISAN,0.01,TRICLOCARBAN,BOITE DE 120G,POUDRE DERMIQUE,Non Commercialisé
CUTIVATE,0.0001,FLUTICASONE (PROPIONATE),TUBE DE 15 G,POMMADE,Non Commercialisé
CUTIVATE,0.0001,FLUTICASONE (PROPIONATE),TUBE DE 30 G,POMMADE,Non Commercialisé
CUTIVATE,0.0005,FLUTICASONE (PROPIONATE),TUBE DE 15 G,CREME,Non Commercialisé
CUTIVATE,0.0005,FLUTICASONE (PROPIONATE),TUBE DE 30 G,CREME,Non Commercialisé
CYBREAST,75 MG,PALBOCICLIB,BOITE DE 21,GELULE,AMM Sans Prix
